year,age,agesq,nbh,cbd,intst,lintst,price,rooms,area,land,baths,dist,ldist,wind,lprice,y81,larea,lland,y81ldist,lintstsq,nearinc,y81nrinc,rprice,lrprice
1978,48,2304,4,3000,1000,6.907800198,60000,7,1660,4578,1,10700,9.277998924,3,11.00209999,0,7.414572716,8.429017067,0,47.71770477,1,0,60000,11.00209999
1978,83,6889,4,4000,1000,6.907800198,40000,6,2612,8370,2,11000,9.305650711,3,10.59663486,0,7.867871284,9.032408714,0,47.71770477,1,0,40000,10.59663486
1978,58,3364,4,4000,1000,6.907800198,34000,6,1144,5000,1,11500,9.350102425,3,10.43411541,0,7.042286396,8.517192841,0,47.71770477,1,0,34000,10.43411541
1978,11,121,4,4000,1000,6.907800198,63900,5,1136,10000,1,11900,9.384293556,3,11.06507492,0,7.035268784,9.2103405,0,47.71770477,1,0,63900,11.06507492
1978,48,2304,4,4000,2000,7.600900173,44000,5,1868,10000,1,12100,9.400960922,3,10.69194508,0,7.532623768,9.2103405,0,57.77368164,1,0,44000,10.69194508
1978,78,6084,4,3000,2000,7.600900173,46000,6,1780,9500,3,10000,9.210339546,3,10.73639679,0,7.484368801,9.159047127,0,57.77368164,1,0,46000,10.73639679
1978,22,484,4,4000,2000,7.600900173,56000,6,1700,10878,2,11700,9.367343903,3,10.93310738,0,7.438383579,9.29449749,0,57.77368164,1,0,56000,10.93310738
1978,78,6084,4,3000,2000,7.600900173,38500,6,1556,3870,2,10200,9.230142593,3,10.55841351,0,7.349873543,8.26101017,0,57.77368164,1,0,38500,10.55841351
1978,42,1764,4,3000,2000,7.600900173,60500,8,1642,7000,2,10500,9.259131432,3,11.01039886,0,7.403670311,8.853665352,0,57.77368164,1,0,60500,11.01039886
1978,41,1681,4,3000,2000,7.600900173,55000,5,1443,7950,2,11000,9.305650711,3,10.91508865,0,7.274479389,8.980927467,0,57.77368164,1,0,55000,10.91508865
1978,78,6084,4,1000,4000,8.293999672,39000,6,1439,4990,1,8600,9.059516907,3,10.57131672,0,7.27170372,8.515191078,0,68.79042816,1,0,39000,10.57131672
1978,38,1444,0,6000,4000,8.293999672,41000,5,1482,8017,1,12200,9.409191132,3,10.6213274,0,7.301147938,8.989319801,0,68.79042816,1,0,41000,10.6213274
1978,18,324,0,5000,4000,8.293999672,50900,6,1290,12538,2,12400,9.425452232,3,10.83761787,0,7.162397385,9.436519623,0,68.79042816,1,0,50900,10.83761787
1978,32,1024,0,9000,7000,8.853699684,52000,6,1274,7858,1,16800,9.729133606,3,10.85899925,0,7.149916649,8.969287872,0,78.38800049,0,0,52000,10.85899925
1978,18,324,0,9000,8000,8.987199783,49000,6,1476,15664,1,17200,9.752664566,3,10.79957581,0,7.297091007,9.65912056,0,80.76976013,0,0,49000,10.79957581
1978,58,3364,4,2000,3000,8.006400108,80000,7,1838,9249,2,9900,9.200289726,3,11.28978157,0,7.516433239,9.132270813,0,64.10243988,1,0,80000,11.28978157
1978,56,3136,4,2000,3000,8.006400108,50000,6,1536,10491,2,10000,9.210339546,3,10.81977844,0,7.336936951,9.258273125,0,64.10243988,1,0,50000,10.81977844
1978,70,4900,4,2000,3000,8.006400108,59000,5,2458,9400,2,10000,9.210339546,3,10.98529243,0,7.807103157,9.148465157,0,64.10243988,1,0,59000,10.98529243
1978,26,676,4,3000,4000,8.293999672,42000,4,750,8000,1,10600,9.268609047,3,10.64542484,0,6.620073318,8.987196922,0,68.79042816,1,0,42000,10.64542484
1978,21,441,4,4000,4000,8.293999672,71500,5,2106,13370,2,11700,9.367343903,3,11.17745304,0,7.652545929,9.500768661,0,68.79042816,1,0,71500,11.17745304
1978,24,576,4,4000,5000,8.51720047,43000,4,1000,8000,1,11700,9.367343903,5,10.6689558,0,6.907755375,8.987196922,0,72.54270172,1,0,43000,10.6689558
1978,33,1089,4,5000,5000,8.51720047,48000,6,1410,10370,2,12500,9.433484077,5,10.77895641,0,7.251345158,9.24667263,0,72.54270172,1,0,48000,10.77895641
1978,128,16384,2,14000,14000,9.54679966,37500,7,2346,43560,2,19600,9.883284569,7,10.53209591,0,7.760467052,10.6818943,0,91.14138031,0,0,37500,10.53209591
1978,15,225,2,18000,18000,9.798100471,59000,6,1215,44867,1,24000,10.08580971,7,10.98529243,0,7.102499485,10.71145821,0,96.00276947,0,0,59000,10.98529243
1978,7,49,2,18000,18000,9.798100471,59000,6,2128,44174,2,22200,10.00784969,7,10.98529243,0,7.662937641,10.69589138,0,96.00276947,0,0,59000,10.98529243
1978,0,0,2,16000,17000,9.741000175,94000,7,2290,25250,3,21700,9.985068321,7,11.4510498,0,7.736307144,10.13658142,0,94.88708496,0,0,94000,11.4510498
1978,0,0,2,17000,17000,9.741000175,95920,7,2464,48269,3,21700,9.985068321,7,11.47126961,0,7.809541225,10.78454494,0,94.88708496,0,0,95920,11.47126961
1978,0,0,2,17000,17000,9.741000175,95000,7,2240,44916,3,21900,9.994241714,7,11.46163177,0,7.714231014,10.71254921,0,94.88708496,0,0,95000,11.46163177
1978,0,0,2,17000,17000,9.741000175,95900,7,2464,50808,3,22000,9.99879837,7,11.47106171,0,7.809541225,10.83580875,0,94.88708496,0,0,95900,11.47106171
1978,1,1,2,16000,17000,9.741000175,91000,7,2240,53000,3,21600,9.980448723,7,11.41861439,0,7.714231014,10.87804699,0,94.88708496,0,0,91000,11.41861439
1978,0,0,2,16000,16000,9.680299759,96900,7,2464,41463,3,21500,9.975808144,7,11.48143482,0,7.809541225,10.63255692,0,93.70820618,0,0,96900,11.48143482
1978,104,10816,4,2000,4000,8.293999672,47000,8,2576,12568,2,9400,9.148465157,3,10.7579031,0,7.853992939,9.438909531,0,68.79042816,1,0,47000,10.7579031
1978,18,324,4,3000,4000,8.293999672,68500,6,1377,12877,2,10200,9.230142593,5,11.1345892,0,7.227662563,9.463197708,0,68.79042816,1,0,68500,11.1345892
1978,188,35344,0,9000,9000,9.104999542,36000,6,2071,9665,2,16100,9.686574936,5,10.49127388,0,7.63578701,9.17626667,0,82.90101624,0,0,36000,10.49127388
1978,12,144,0,8000,8000,8.987199783,90000,7,2352,26890,3,15000,9.615804672,5,11.40756512,0,7.763021469,10.19950962,0,80.76976013,1,0,90000,11.40756512
1978,178,31684,0,10000,9000,9.104999542,66900,10,1750,12516,2,17100,9.746833801,5,11.11095428,0,7.467370987,9.434762955,0,82.90101624,0,0,66900,11.11095428
1978,1,1,4,3000,6000,8.699500084,44000,6,1869,12500,2,6100,8.716044426,3,10.69194508,0,7.533158779,9.433484077,0,75.68130493,1,0,44000,10.69194508
1978,48,2304,4,2000,6000,8.699500084,43500,6,1490,5000,1,6600,8.7948246,3,10.68051624,0,7.306531429,8.517192841,0,75.68130493,1,0,43500,10.68051624
1978,56,3136,4,2000,6000,8.699500084,40000,5,1867,5000,1,6800,8.824678421,3,10.59663486,0,7.53208828,8.517192841,0,75.68130493,1,0,40000,10.59663486
1978,3,9,4,3000,6000,8.699500084,46000,7,1261,10000,2,6000,8.699515343,3,10.73639679,0,7.139660358,9.2103405,0,75.68130493,1,0,46000,10.73639679
1978,21,441,0,3000,5000,8.51720047,48000,5,1038,15431,1,10000,9.210339546,5,10.77895641,0,6.945051193,9.644133568,0,72.54270172,1,0,48000,10.77895641
1978,12,144,4,4000,6000,8.699500084,61000,7,1800,13030,2,11200,9.323669434,5,11.01862907,0,7.495542049,9.475009918,0,75.68130493,1,0,61000,11.01862907
1978,28,784,4,4000,5000,8.51720047,55500,6,1972,20089,2,11400,9.341368675,5,10.92413807,0,7.586803436,9.907927513,0,72.54270172,1,0,55500,10.92413807
1978,23,529,0,6000,7000,8.853699684,63000,6,2089,16935,1,12100,9.400960922,5,11.05088997,0,7.644440651,9.737137794,0,78.38800049,1,0,63000,11.05088997
1978,148,21904,0,6000,7000,8.853699684,32000,6,1464,29129,2,12500,9.433484077,5,10.37349129,0,7.288927555,10.27948952,0,78.38800049,1,0,32000,10.37349129
1978,25,625,0,7000,7000,8.853699684,32000,6,2112,12500,2,14000,9.546813011,5,10.37349129,0,7.655390739,9.433484077,0,78.38800049,1,0,32000,10.37349129
1978,13,169,0,12000,12000,9.392700195,82000,6,1964,25182,2,18300,9.814656258,5,11.31447411,0,7.5827384,10.13388443,0,88.22281647,0,0,82000,11.31447411
1978,18,324,0,14000,17000,9.741000175,51000,5,1166,45000,1,5200,8.556413651,7,10.83958054,0,7.061334133,10.71441746,0,94.88708496,1,0,51000,10.83958054
1978,38,1444,1,10000,14000,9.54679966,83000,6,3861,51062,2,8000,8.987196922,11,11.32659626,0,8.258681297,10.84079552,0,91.14138031,1,0,83000,11.32659626
1978,10,100,0,14000,16000,9.680299759,100000,7,2252,44000,3,16000,9.680343628,11,11.51292515,0,7.719573975,10.69194508,0,93.70820618,0,0,100000,11.51292515
1978,8,64,0,14000,16000,9.680299759,131500,9,2598,44000,3,16000,9.680343628,11,11.78676224,0,7.86249733,10.69194508,0,93.70820618,0,0,131500,11.78676224
1978,21,441,0,17000,18000,9.798100471,37500,4,2276,43560,1,22100,10.00333023,7,10.53209591,0,7.730175018,10.6818943,0,96.00276947,0,0,37500,10.53209591
1978,68,4624,4,3000,6000,8.699500084,49000,6,1875,9790,2,6700,8.809863091,5,10.79957581,0,7.536364079,9.189116478,0,75.68130493,1,0,49000,10.79957581
1978,13,169,4,4000,6000,8.699500084,54000,6,1570,8790,2,10700,9.277998924,5,10.89673901,0,7.358830929,9.081370354,0,75.68130493,1,0,54000,10.89673901
1978,38,1444,0,4000,7000,8.853699684,56900,6,2032,10993,2,5300,8.575462341,5,10.9490509,0,7.61677599,9.305013657,0,78.38800049,1,0,56900,10.9490509
1978,22,484,0,4000,8000,8.987199783,62000,6,1318,20550,2,5700,8.648221016,5,11.03488922,0,7.183870792,9.930616379,0,80.76976013,1,0,62000,11.03488922
1978,21,441,0,4000,8000,8.987199783,48000,5,1078,21800,2,5800,8.665613174,5,10.77895641,0,6.982862949,9.989665031,0,80.76976013,1,0,48000,10.77895641
1978,56,3136,4,4000,7000,8.853699684,48000,7,3460,11421,2,5900,8.682707787,5,10.77895641,0,8.14902401,9.343209267,0,78.38800049,1,0,48000,10.77895641
1978,28,784,4,3000,7000,8.853699684,53000,5,1592,12700,2,6800,8.824678421,5,10.87804699,0,7.372746468,9.449357033,0,78.38800049,1,0,53000,10.87804699
1978,54,2916,4,4000,7000,8.853699684,49000,8,915,14000,1,7600,8.935903549,5,10.79957581,0,6.81892395,9.546813011,0,78.38800049,1,0,49000,10.79957581
1978,28,784,4,5000,7000,8.853699684,31000,5,925,4585,1,11400,9.341368675,5,10.34174252,0,6.82979393,8.430545807,0,78.38800049,1,0,31000,10.34174252
1978,14,196,0,4000,7000,8.853699684,56900,6,1421,21120,2,6800,8.824678421,5,10.9490509,0,7.259116173,9.957975388,0,78.38800049,1,0,56900,10.9490509
1978,78,6084,0,10000,10000,9.210300446,34000,5,990,1710,1,15600,9.655026436,5,10.43411541,0,6.897705078,7.444248676,0,84.82963562,1,0,34000,10.43411541
1978,153,23409,0,10000,11000,9.305700302,98000,9,3792,35942,4,16200,9.692767143,5,11.49272251,0,8.240649223,10.48966217,0,86.59606171,0,0,98000,11.49272251
1978,3,9,0,12000,12000,9.392700195,85500,7,2544,26726,3,17700,9.781319618,7,11.35627174,0,7.84149313,10.1933918,0,88.22281647,0,0,85500,11.35627174
1978,0,0,0,12000,12000,9.392700195,122500,7,2206,50094,3,18500,9.825526237,5,11.71586609,0,7.698935986,10.82165623,0,88.22281647,0,0,122500,11.71586609
1978,189,35721,1,14000,17000,9.741000175,185000,9,5078,132422,4,14500,9.581904411,11,12.12811089,0,8.532672882,11.79374886,0,94.88708496,1,0,185000,12.12811089
1978,5,25,1,17000,19000,9.852199554,67500,5,1358,44775,2,16700,9.723163605,11,11.11988258,0,7.213768482,10.70940495,0,97.06583405,0,0,67500,11.11988258
1978,8,64,1,16000,19000,9.852199554,120000,7,2171,44064,3,16200,9.692767143,11,11.6952467,0,7.682943344,10.69339848,0,97.06583405,0,0,120000,11.6952467
1978,1,1,1,19000,21000,9.952300072,79000,7,1998,43561,3,19900,9.898474693,11,11.27720356,0,7.599902153,10.68191719,0,99.04827881,0,0,79000,11.27720356
1978,1,1,1,18000,21000,9.952300072,77500,7,1998,147668,3,19800,9.893437386,11,11.2580328,0,7.599902153,11.90272141,0,99.04827881,0,0,77500,11.2580328
1978,26,676,1,20000,22000,9.998800278,58000,6,1356,544500,2,21000,9.952278137,11,10.96819782,0,7.212294579,13.20762348,0,99.97600555,0,0,58000,10.96819782
1978,0,0,1,19000,21000,9.952300072,61900,9,1411,44431,3,20200,9.913437843,11,11.0332756,0,7.252053738,10.70169258,0,99.04827881,0,0,61900,11.0332756
1978,2,4,1,19000,21000,9.952300072,79900,7,1540,46174,3,21000,9.952278137,11,11.2885313,0,7.339537621,10.74017239,0,99.04827881,0,0,79900,11.2885313
1978,0,0,1,20000,22000,9.998800278,62400,7,1296,46609,2,20900,9.947504044,11,11.0413208,0,7.167037964,10.74954891,0,99.97600555,0,0,62400,11.0413208
1978,1,1,1,22000,24000,10.08600044,89500,7,2240,43560,2,23000,10.04325008,11,11.40199375,0,7.714231014,10.6818943,0,101.7274017,0,0,89500,11.40199375
1978,0,0,6,21000,23000,10.04300022,89500,7,2436,43560,3,23100,10.04759026,11,11.40199375,0,7.798112392,10.6818943,0,100.8618546,0,0,89500,11.40199375
1978,0,0,6,22000,24000,10.08600044,94900,7,2384,43560,3,23200,10.0519104,11,11.46057892,0,7.776535034,10.6818943,0,101.7274017,0,0,94900,11.46057892
1978,0,0,6,24000,26000,10.16600037,85900,6,1862,56392,2,27100,10.2072897,11,11.36093903,0,7.529406548,10.94008255,0,103.3475647,0,0,85900,11.36093903
1978,0,0,6,24000,26000,10.16600037,92900,7,2036,49737,3,27000,10.20359039,11,11.4392786,0,7.618742466,10.81450462,0,103.3475647,0,0,92900,11.4392786
1978,0,0,6,24000,26000,10.16600037,84900,7,2082,43958,3,27000,10.20359039,11,11.34922981,0,7.641084194,10.69098949,0,103.3475647,0,0,84900,11.34922981
1978,0,0,6,24000,26000,10.16600037,85900,7,1962,44465,3,26700,10.19242001,11,11.36093903,0,7.581719875,10.70245743,0,103.3475647,0,0,85900,11.36093903
1978,0,0,6,24000,26000,10.16600037,85900,7,2286,43996,3,26600,10.18867016,11,11.36093903,0,7.734559059,10.69185352,0,103.3475647,0,0,85900,11.36093903
1978,0,0,6,24000,25000,10.12699986,97900,7,2464,43560,3,26400,10.18111992,11,11.49170208,0,7.809541225,10.6818943,0,102.5561295,0,0,97900,11.49170208
1978,0,0,6,24000,25000,10.12699986,78400,6,1862,45302,2,26300,10.17731953,11,11.26957893,0,7.529406548,10.72110653,0,102.5561295,0,0,78400,11.26957893
1978,0,0,6,24000,26000,10.16600037,91400,8,2738,43995,2,27000,10.20359039,11,11.42300034,0,7.914982796,10.69183159,0,103.3475647,0,0,91400,11.42300034
1978,0,0,6,25000,26000,10.16600037,106500,7,2240,43995,3,27100,10.2072897,11,11.57590008,0,7.714231014,10.69183159,0,103.3475647,0,0,106500,11.57590008
1978,0,0,6,24000,26000,10.16600037,109500,7,2780,43995,3,27000,10.20359039,11,11.60367966,0,7.930206299,10.69183159,0,103.3475647,0,0,109500,11.60367966
1978,1,1,1,14000,16000,9.680299759,148000,7,2781,43560,3,15600,9.655026436,11,11.90496731,0,7.930565834,10.6818943,0,93.70820618,1,0,148000,11.90496731
1978,12,144,1,16000,19000,9.852199554,75000,6,1537,48352,2,17700,9.781319618,11,11.22524357,0,7.337587833,10.78626251,0,97.06583405,0,0,75000,11.22524357
1978,1,1,1,14000,16000,9.680299759,90400,7,2796,43560,3,15600,9.655026436,11,11.4119997,0,7.935945034,10.6818943,0,93.70820618,1,0,90400,11.4119997
1978,1,1,1,14000,16000,9.680299759,125000,9,2794,43995,3,15600,9.655026436,11,11.73606873,0,7.935229301,10.69183159,0,93.70820618,1,0,125000,11.73606873
1978,158,24964,6,22000,23000,10.04300022,123000,9,2872,104544,3,33300,10.41331005,11,11.71993923,0,7.962763786,11.55736351,0,100.8618546,0,0,123000,11.71993923
1978,30,900,6,21000,22000,9.998800278,63000,6,1357,45302,1,25600,10.15034962,7,11.05088997,0,7.213031769,10.72110653,0,99.97600555,0,0,63000,11.05088997
1978,188,35344,6,21000,23000,10.04300022,87500,7,3256,44867,2,25300,10.1385603,11,11.37939453,0,8.088254929,10.71145821,0,100.8618546,0,0,87500,11.37939453
1978,0,0,0,30000,31000,10.34200001,73000,7,2038,49223,2,33300,10.41331005,11,11.19821453,0,7.619724274,10.80411625,0,106.9569626,0,0,73000,11.19821453
1978,0,0,0,25000,26000,10.16600037,84900,7,1924,44431,3,28100,10.24351978,11,11.34922981,0,7.562161446,10.70169258,0,103.3475647,0,0,84900,11.34922981
1978,0,0,0,25000,26000,10.16600037,80900,7,2370,43560,3,27300,10.21463966,11,11.30096912,0,7.770645142,10.6818943,0,103.3475647,0,0,80900,11.30096912
1978,0,0,0,25000,26000,10.16600037,94000,7,2036,51836,3,27200,10.21096992,11,11.4510498,0,7.618742466,10.85583973,0,103.3475647,0,0,94000,11.4510498
1978,0,0,0,30000,31000,10.34200001,74500,7,1818,55321,2,33200,10.41030979,11,11.2185545,0,7.50549221,10.92090797,0,106.9569626,0,0,74500,11.2185545
1978,1,1,5,33000,34000,10.43400002,82500,7,1986,50094,3,36700,10.51053047,11,11.32055378,0,7.593877792,10.82165623,0,108.8683548,0,0,82500,11.32055378
1978,3,9,5,31000,32000,10.37300014,86000,6,1855,50965,2,34600,10.45160961,11,11.36210251,0,7.525640011,10.83889484,0,107.5991287,0,0,86000,11.36210251
1978,1,1,5,30000,30000,10.30900002,76900,6,1836,46174,3,33300,10.41331005,11,11.25026131,0,7.51534462,10.74017239,0,106.2754822,0,0,76900,11.25026131
1978,1,1,5,30000,30000,10.30900002,75900,7,1836,45738,2,33300,10.41331005,11,11.23717213,0,7.51534462,10.73068428,0,106.2754822,0,0,75900,11.23717213
1978,0,0,5,30000,30000,10.30900002,75500,7,1820,46174,3,33300,10.41331005,11,11.23188782,0,7.506591797,10.74017239,0,106.2754822,0,0,75500,11.23188782
1978,0,0,5,30000,30000,10.30900002,75000,7,1728,47916,2,33300,10.41331005,11,11.22524357,0,7.45472002,10.77720451,0,106.2754822,0,0,75000,11.22524357
1978,0,0,5,30000,30000,10.30900002,73900,6,2092,47045,3,33300,10.41331005,11,11.21046829,0,7.645875931,10.75885963,0,106.2754822,0,0,73900,11.21046829
1978,0,0,5,33000,34000,10.43400002,83900,7,2036,46174,3,36800,10.51325035,11,11.33738136,0,7.618742466,10.74017239,0,108.8683548,0,0,83900,11.33738136
1978,1,1,5,33000,34000,10.43400002,76900,7,2400,43560,3,37100,10.52136993,11,11.25026131,0,7.783224106,10.6818943,0,108.8683548,0,0,76900,11.25026131
1978,0,0,5,30000,31000,10.34200001,84300,7,2104,68689,3,33200,10.41030979,11,11.34213734,0,7.651595592,11.13734436,0,106.9569626,0,0,84300,11.34213734
1978,0,0,5,30000,31000,10.34200001,75900,7,1928,157252,3,33300,10.41331005,11,11.23717213,0,7.564238548,11.96560478,0,106.9569626,0,0,75900,11.23717213
